Gene ID,ID
SNORD121B,101340252
HTR4,3360
SNORD121A,100113379
HTR6,3362
HTR7,3363
BBX,56987
EXOC3-AS1,116349
WDR83OS,51398
DHDH,27294
BCR,613
VOPP1,81552
COL13A1,1305
BNC2-AS1,111216284
SNORA63B,109617006
SNORA63C,109616970
SNORA63D,109616971
LOC100132356,100132356
LOC100335030,100335030
SNORA63E,109617007
GTF2IRD2B,389524
SPAG5-AS1,100506436
DHFR,1719
DELEC1,50514
DCLRE1CP1,105376432
STRC,161497
STRN,6801
BBC3,27113
STUM,375057
MYBPC3,4607
MYBPC1,4604
MYBPC2,4606
FLJ20021,90024
BGN,633
TMEFF1,8577
TMEFF2,23671
VCAN-AS1,105379054
PAXBP1-AS1,100506215
BORCS7-ASMT,100528007
STX6,10228
STX5,6811
STX4,6810
STX3,6809
BID,637
STX2,2054
SPDEF,25803
MBD3,53615
MBD4,8930
MBD5,55777
MBD6,114785
BIK,638
MBD1,4152
MBD2,8932
FBXO27,126433
FBXO28,23219
FBXO25,26260
FBXO24,26261
FBXO21,23014
MCHR2-AS1,728012
FBXO22,26263
FADS3,3995
FADS2,9415
MYBPHL,343263
FNTA,2339
FADS6,283985
FNTB,2342
FADS1,3992
RXYLT1-AS1,104169670
FBXO16,157574
STX8,9482
FBXO17,115290
STX7,8417
MIR10400,113218512
FGD5P1,100132526
FBXO15,201456
FBXO10,26267
FBXO11,80204
MINPP1,9562
BLK,640
BLM,641
PDZRN3-AS1,101927249
IREB2,3658
FBXO47,494188
FBXO48,554251
FBXO45,200933
LOC100288162,100288162
FBXO46,23403
FBXO43,286151
FBXO44,93611
FBXO41,150726
FBXO42,54455
FBXO40,51725
FAM111A-DT,101927204
MBIP,51562
BMF,90427
KIR2DL5B,553128
KIR2DL5A,57292
HTR1E,3354
HTR1F,3355
FBXO38,81545
HTR1D,3352
FBXO39,162517
STYX,6815
HTR1A,3350
FBXO36,130888
HTR1B,3351
LOC100288175,100288175
FBXO34,55030
RGMB-AS1,503569
BMX,660
FBXO32,114907
FBXO33,254170
FBXO30,84085
FAM90A1,55138
FBXO31,79791
AGAP1-IT1,100506749
LOC284933,284933
HTR2B,3357
EDRF1-DT,399821
PPWD1,23398
HTR2C,3358
HTR2A,3356
HCFC1-AS1,100873990
BOC,91653
SPDL1,54908
BOK,666
MBL2,4153
SLC36A1,206358
SLC36A3,285641
SLC36A2,153201
ASTN2-AS1,100128505
VPS13C,54832
HTR3E,285242
DHPS,1725
VPS13D,55187
VPS13A,23230
HTR3C,170572
VPS13B,157680
HTR3D,200909
HTR3A,3359
HTR3B,9177
RABGGTB,5876
RABGGTA,5875
LOC115308161,115308161
LOC642484,642484
C1D,10438
BPI,671
C1S,716
C1R,715
KCNQ5-IT1,100507381
LOC284950,284950
IL2RG,3561
LOC100288123,100288123
TSPOAP1,9256
SLC36A4,120103
GPKOW,27238
HTR5A,3361
IL2RA,3559
ANKRD62P1-PARP4P3,23783
IL2RB,3560
CDRT15,146822
LGALSL,29094
PEX26,55670
LGALS4,3960
C4B,721
LGALS3,3958
C4A,720
LGALS2,3957
IL36A,27179
LGALS1,3956
HMGN2P46,283651
IL36B,27177
MCIDAS,345643
FOXD3-AS1,100996301
BSG,682
LGALS9,3965
LGALS8,3964
BSN,8927
INHBA-AS1,285954
LGALS7,3963
BSX,390259
BTC,685
ZNF542P,147947
CFDP1,10428
BTD,686
CRISPLD1,83690
CRISPLD2,83716
SUB1,10923
BTK,695
DOCK9-DT,100861541
DHX8,1659
DHX9,1660
LOC102724951,102724951
NKAIN2,154215
NKAIN1,79570
NKAIN4,128414
MC2R,4158
NKAIN3,286183
LOC102724958,102724958
RACGAP1,29127
OR7E47P,26628
LOC100288208,100288208
BBS2,583
SLC10A4,201780
BBS1,582
SLC10A5,347051
XBP1,7494
SLC10A6,345274
SLC10A7,84068
SLC10A1,6554
SPDYC,387778
SLC10A2,6555
SLC10A3,8273
IL36G,56300
SUCO,51430
PEX5L,51555
MC1R,4157
SPDYA,245711
OR3A4P,390756
C8B,732
C8A,731
MC4R,4160
C8G,733
SUFU,51684
RNF213-AS1,100294362
BBS9,27241
BBS7,55212
BBS5,129880
BBS4,585
PCYT1B,9468
ZHX2,22882
PCYT1A,5130
ZHX3,23051
LOC101927814,101927814
CACYBP,27101
ZHX1,11244
RNF144A,9781
RNF144B,255488
MC3R,4159
LOC102724904,102724904
TAX1BP1,8887
LOC101927817,101927817
TAX1BP3,30851
LOC102724908,102724908
LOC101927822,101927822
LOC101927829,101927829
LOC101927827,101927827
PEX16,9409
PEX19,5824
LOC101927830,101927830
PEX10,5192
PEX12,5193
PEX13,5194
PEX14,5195
MC5R,4161
LOC101927839,101927839
LOC105376398,105376398
