"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ELOVL2",491.098169942352,-2.98709857165959,0.24072084397783,-12.4089734910313,2.33628822368155e-35,3.57171743636435e-31
"EIF3H",2832.86118898418,-1.83124972652479,0.155725854621108,-11.7594456680321,6.31475173564694e-32,4.82699622672852e-28
"PDHA1",1454.14730155356,-1.66358082252594,0.162812186381769,-10.2177905689756,1.65060090294349e-24,8.41146220140002e-21
"TMEM109",1535.86595075187,-1.57923481225556,0.160631983911157,-9.83138459604039,8.24769178314715e-23,3.15226779951884e-19
"AK4",2425.14940830867,-1.63535124444158,0.173285095159292,-9.43734510425312,3.82344032652026e-21,1.16905511423683e-17
"RPN2",5689.99318616183,-1.9461694567539,0.223213976170126,-8.71885125719277,2.8103847434437e-18,7.16086032629455e-15
"ATP6V1F",924.99548557752,-1.69862697661495,0.195982367728756,-8.66724387658119,4.42706050707289e-18,9.6687001474472e-15
"RNF11",1968.35438277701,-1.31141271823847,0.161258190980557,-8.13237895243772,4.20946461237149e-16,8.04428687424192e-13
"IRAK1",5613.38899299644,-1.03461309328572,0.1398392588825,-7.39858821874232,1.37639940022535e-13,2.3380437811828e-10
"PLOD2",15335.7664968576,-1.46146765435007,0.199496503812326,-7.32578078523583,2.37511768900493e-13,3.63107992295074e-10
"FZD6",2390.15520499634,-1.22083758143686,0.169429574134727,-7.20557545913487,5.77992243946833e-13,8.03304129587198e-10
"PTPRD",225.526009312772,1.59017803096272,0.221885805347146,7.16665055916868,7.68548700592262e-13,9.79131044554542e-10
"ARSB",499.259118724422,-1.32478063035703,0.197539979641201,-6.70639246173497,1.99494739337681e-11,2.34605813461112e-08
"GOLT1B",1052.84889426858,-1.34945880555215,0.20260472927536,-6.66054938785805,2.72805872631403e-11,2.97904012913492e-08
"TFRC",6356.4648811248,-1.05450127851347,0.159904002688946,-6.59458963366129,4.26433718155899e-11,4.34621245544492e-08
"MLEC",7122.29623655368,-1.04066528957448,0.166569349855597,-6.24763973970396,4.16701428151802e-10,3.90054483182167e-07
"RAB31",1258.14325735164,-1.17410380542935,0.188116133913775,-6.24137749911187,4.33734053773995e-10,3.90054483182167e-07
"ATP1B3",3952.20999424569,-1.02247522729249,0.16533323303083,-6.18432972336437,6.23668904582112e-10,5.29702789625074e-07
"RRP1B",1439.55060193586,-1.25825094910786,0.204197229622746,-6.16193937318581,7.18593654075736e-10,5.78203146500519e-07
"PPT2",134.962401156741,-1.45999988024237,0.239184400954407,-6.10407649669709,1.03396759698261e-09,7.9036483113351e-07
"RTN3",3817.35322405232,-1.07375286716016,0.177376613767249,-6.05351993340635,1.41714527052275e-09,1.03168175694056e-06
"RHBDD2",435.640938876556,-1.05591525058611,0.17845645506927,-5.91693503144082,3.27996175341057e-09,2.27927524027912e-06
"SLC35B4",821.135705189768,-1.0432779579584,0.17669366457627,-5.90444462431795,3.53836694727791e-09,2.35193712565151e-06
"GLCE",751.891735876769,-1.09956370738667,0.186469585333085,-5.89674560289578,3.70740771060415e-09,2.36161871165484e-06
"MT1X",517.455178085925,-1.12868909171327,0.192136575910525,-5.87441035817609,4.24351024502119e-09,2.59499138503536e-06
"DPYSL2",5269.59086646147,-1.2618772331751,0.215768838885124,-5.84828300367751,4.96673018568823e-09,2.92043734918468e-06
"SUMF1",1131.58537777624,-1.34176854889137,0.230095200640734,-5.83136260623871,5.49765689681669e-09,3.11289550513087e-06
"DZIP3",626.066932734879,-1.54087330163128,0.266981941169228,-5.77145141309234,7.85916211624177e-09,4.29110251546801e-06
"FGF5",5161.16727150197,1.29207390761578,0.225550306280754,5.72853980525066,1.01298785281583e-08,5.34019251512015e-06
"POLE3",1100.49265537567,-1.22812764041274,0.218399933258007,-5.62329677528741,1.87347134426448e-08,9.54720997037179e-06
"DDHD2",1312.04581883066,-1.3895245850042,0.248816288404531,-5.58454028035769,2.34319206328508e-08,1.1555716214033e-05
"CAMK2G",840.704319629601,-0.841101192140224,0.15164273475739,-5.54659735915396,2.91282463510631e-08,1.39160196942204e-05
"NRAS",3432.59878742152,-0.802381170395882,0.145906770487702,-5.49927304753491,3.81360204340109e-08,1.76673781937927e-05
"NRP2",291.566169192875,-1.86886493502222,0.343108148610476,-5.44686840750001,5.12643606553433e-08,2.30508689911438e-05
"IL13RA1",1317.42066510205,-0.918639917660862,0.169674225669561,-5.41413944301655,6.15841611114422e-08,2.61527404186591e-05
"SLC25A11",851.858906628859,-0.834199932146557,0.154037614058599,-5.41555994128297,6.10971991690473e-08,2.61527404186591e-05
"UHMK1",7061.04129442291,-0.818227137158402,0.151984993765188,-5.38360476839271,7.30087199422727e-08,3.00670804559282e-05
"BTG2",915.856026495318,1.22681882026393,0.22805872632902,5.37939871896854,7.47350246811402e-08,3.00670804559282e-05
"RPL22L1",2966.72549884146,-1.28685350203866,0.24269798773965,-5.30228336058192,1.14363143369158e-07,4.48303522007098e-05
"DQX1",23.54226241345,2.60513055473984,0.49959841769873,5.21444917047514,1.84364246036648e-07,7.04640148352068e-05
"SFXN1",2209.30798913285,-0.809709623041438,0.156492315521699,-5.17411746603728,2.28990734696049e-07,8.40483751217122e-05
"ATPSCKMT",634.004887256997,0.848721123933459,0.164081287146891,5.17256500537845,2.30902129455253e-07,8.40483751217122e-05
"ACCS",418.324203371456,-1.12792168469338,0.218463386940742,-5.16297811037473,2.43051571773606e-07,8.64133123087183e-05
"TMPRSS15",18.3758554949189,3.6467560345031,0.708173886220528,5.14952062686972,2.61153054342011e-07,9.07388157904697e-05
"ALG5",511.525667662733,-1.03751056687732,0.201979890905404,-5.13670228371017,2.79601367329951e-07,9.4989904527562e-05
"CDC27",3071.84964466805,-0.823556679126299,0.160779604457316,-5.1222708371878,3.01877866346066e-07,0.000100328452623884
"SLC31A1",1011.57027221887,-0.823657503784577,0.161013584453735,-5.11545349778388,3.12988052334333e-07,0.00010180768817207
"SLC4A7",4987.05528209207,0.678878139350116,0.13327271142804,5.09390206048799,3.50768018898838e-07,0.00011171961401928
"SGMS2",2780.83707857135,-0.810410189487204,0.162082265652114,-4.99999297410263,5.73324035202808e-07,0.000178877098983276
"VPS4B",2033.09554866037,-0.960616671478115,0.192578423440186,-4.98818431638309,6.09494054186674e-07,0.000182704805890311
"SLC39A9",3025.77213451755,-0.789845502027693,0.158227584256442,-4.99183189669114,5.9809299774321e-07,0.000182704805890311
"ITM2B",7174.90446120345,-1.01298504363762,0.204589795091433,-4.95129800186223,7.37201140941677e-07,0.000216737135436853
"LINC02009",893.829511985072,1.99509510164537,0.40334168179526,4.94641439675977,7.55929471978068e-07,0.000218049995615108
"VPS4A",1177.53931032761,-0.757058252071482,0.153515108610768,-4.9314901896137,8.16046669711481e-07,0.000231031879380539
"SEMA3D",183.40704636713,1.38184782203742,0.281885503145206,4.90215994302339,9.4788608784679e-07,0.000263477863836395
"CALM3",3834.87008707032,-0.867975899478722,0.177641663418446,-4.88610544832689,1.02850127998774e-06,0.000280780849436653
